day,total_sales,receipt_expenses,cash_sales,orders_count,order_sales,discounts,evening_shift_sales,morning_shift_sales,items_sold,total_expenses,inventory_waste_qty,inventory_usage_qty,average_order_value,gross_profit,profit_margin,cash_ratio,day_of_week,is_weekend
2025-11-19,0.00,0.00,0.00,0,0.00,0,0.00,0.00,0,0.00,0,0,0.00,0.00,0.00,1,3,0
2025-11-20,0.00,0.00,0.00,0,0.00,0,0.00,0.00,0,0.00,0,0,0.00,0.00,0.00,1,4,0
2025-11-22,0.00,0.00,0.00,0,0.00,0,0.00,0.00,0,0.00,0,0,0.00,0.00,0.00,1,6,1
2025-11-23,0.00,0.00,0.00,0,0.00,0,0.00,0.00,0,0.00,0,0,0.00,0.00,0.00,1,0,0
2025-11-24,0.00,0.00,0.00,0,0.00,0,0.00,0.00,0,0.00,0,0,0.00,0.00,0.00,1,1,0
2025-11-25,0.00,0.00,0.00,0,0.00,0,0.00,0.00,0,0.00,0,0,0.00,0.00,0.00,1,2,0
2025-11-26,0.00,0.00,0.00,0,0.00,0,0.00,0.00,0,125500.00,0,0,0.00,-125500.00,0.00,1,3,0
2025-11-27,449000.00,0.00,449000.00,152,1690000.00,0,0.00,449000.00,399,750000.00,0,0,2953.95,-301000.00,-67.04,1,4,0
2025-11-28,1447000.00,0.00,1447000.00,188,2256500.00,0,723500.00,723500.00,572,211000.00,0,0,7696.81,1236000.00,85.42,1,5,1
2025-11-29,0.00,0.00,0.00,182,1941000.00,0,0.00,0.00,469,0.00,0,0,0.00,0.00,0.00,1,6,1
2025-11-30,0.00,0.00,0.00,157,1889500.00,0,0.00,0.00,452,1060250.00,0,0,0.00,-1060250.00,0.00,1,0,0
2025-12-01,28000.00,0.00,28000.00,151,1956500.00,0,0.00,28000.00,462,112500.00,0,0,185.43,-84500.00,-301.79,1,1,0
2025-12-02,173000.00,0.00,173000.00,241,2963500.00,0,0.00,173000.00,701,1097000.00,0,0,717.84,-924000.00,-534.10,1,2,0
2025-12-03,4000.00,0.00,4000.00,257,3142250.00,0,0.00,4000.00,720,3143250.00,0,0,15.56,-3139250.00,-78481.25,1,3,0
2025-12-04,183000.00,0.00,183000.00,292,3889500.00,0,0.00,183000.00,889,5625000.00,0,0,626.71,-5442000.00,-2973.77,1,4,0
2025-12-05,193000.00,0.00,193000.00,212,3552000.00,0,0.00,193000.00,819,28000.00,0,0,910.38,165000.00,85.49,1,5,1
2025-12-06,190000.00,0.00,190000.00,173,2604875.00,0,0.00,190000.00,558,7700500.00,0,0,1098.27,-7510500.00,-3952.89,1,6,1
2025-12-07,42000.00,0.00,42000.00,180,2474500.00,0,0.00,42000.00,570,2129167.00,0,0,233.33,-2087167.00,-4969.45,1,0,0
2025-12-08,12000.00,0.00,12000.00,239,3338500.00,0,0.00,12000.00,743,4309500.00,0,0,50.21,-4297500.00,-35812.50,1,1,0
2025-12-09,9277500.00,0.00,9277500.00,239,3092500.00,0,6185000.00,3092500.00,707,1145250.00,0,0,38817.99,8132250.00,87.66,1,2,0
2025-12-10,0.00,0.00,0.00,240,3553000.00,0,0.00,0.00,768,6671000.00,0,0,0.00,-6671000.00,0.00,1,3,0
2025-12-11,0.00,0.00,0.00,235,3519750.00,0,0.00,0.00,793,1346000.00,0,0,0.00,-1346000.00,0.00,1,4,0
2025-12-12,0.00,0.00,0.00,181,2602000.00,0,0.00,0.00,586,3170000.00,0,0,0.00,-3170000.00,0.00,1,5,1
2025-12-13,0.00,0.00,0.00,228,2967500.00,0,0.00,0.00,674,3220000.00,0,0,0.00,-3220000.00,0.00,1,6,1
2025-12-14,0.00,0.00,0.00,210,2718000.00,0,0.00,0.00,626,1449000.00,0,0,0.00,-1449000.00,0.00,1,0,0
2025-12-15,0.00,0.00,0.00,194,2673000.00,0,0.00,0.00,614,0.00,0,0,0.00,0.00,0.00,1,1,0
2025-12-16,189000.00,0.00,189000.00,86,1334500.00,0,0.00,189000.00,306,0.00,0,0,2197.67,189000.00,100.00,1,2,0
